source,dest,dist
3609,3140,0.33770382967568763
3609,3141,0.7926721585399453
3609,3142,0.4742876589067995
3609,3143,0.8958948471102929
3609,3144,1.3624202887614847
3609,3145,2.5278894675897923
3609,3146,2.62806029957776
3609,3147,2.1864413196902666
3609,3148,3.1253599936101817
3609,3149,3.750810255559169
3610,3140,0.130398532498755
3610,3141,0.5825735110582875
3610,3142,0.44109775392945305
3610,3143,0.7805564117264362
3610,3144,1.4814001652569353
3610,3145,2.507450778306103
3610,3146,2.8245295948848765
3610,3147,2.0051352045988455
3610,3148,3.258124253962807
3610,3149,3.9430527352260833
3611,3140,0.20343214746298915
3611,3141,0.652843235117633
3611,3142,0.4121179383114159
3611,3143,0.7884277387240028
3611,3144,1.417610937626458
3611,3145,2.5410765437270277
3611,3146,2.7721842124261062
3611,3147,2.0474325376298834
3611,3148,3.237350768768259
3611,3149,3.893454121781803
3612,3140,0.1806889734311593
3612,3141,0.6275374791688537
3612,3142,0.40622164830835544
3612,3143,0.7708361653135921
3612,3144,1.4296661785214164
3612,3145,2.543650307561655
3612,3146,2.7982508127477574
3612,3147,2.0225490617563477
3612,3148,3.2575207842230243
3612,3149,3.9192204577414342
3613,3140,0.28913788358036335
3613,3141,0.710420850597519
3613,3142,0.6419188074006136
3613,3143,1.0091044961080056
3613,3144,1.5792691834300754
3613,3145,2.3212093507235405
3613,3146,2.6494918971177337
3613,3147,2.211724966129035
3613,3148,3.0326104038131376
3613,3149,3.759003031122491
3614,3140,0.7378568863697104
3614,3141,0.30666049538024565
3614,3142,1.0953953590597723
3614,3143,1.0392721515221819
3614,3144,2.234310864073732
3614,3145,2.386452937651664
3614,3146,3.568036124826218
3614,3147,1.5500708677134525
3614,3148,3.7170048178162123
3614,3149,4.65408973908413
3615,3140,0.8451477004310237
3615,3141,0.4451320084498028
3615,3142,1.2348582893747544
3615,3143,1.1942292729376678
3615,3144,2.3743606647155246
3615,3145,2.273925074307414
3615,3146,3.605298141961156
3615,3147,1.6360501769488003
3615,3148,3.6872107657471096
3615,3149,4.6785904652981705
3616,3140,0.8709418892039773
3616,3141,0.5150379113561611
3616,3142,1.293400938817059
3616,3143,1.2878507742798186
3616,3144,2.4301356770850933
3616,3145,2.1520551497035894
3616,3146,3.5563591671834507
3616,3147,1.7548403394119532
3616,3148,3.595072950917347
3616,3149,4.619480510589669
3617,3140,0.9416773556613935
3617,3141,0.5757435387820824
3617,3142,1.3589339844977921
3617,3143,1.339295688241731
3617,3144,2.4967615356590835
3617,3145,2.152152448405512
3617,3146,3.6191582719432804
3617,3147,1.747493806816463
3617,3148,3.6370423869828357
3617,3149,4.678626186414908
3618,3140,0.8926768585870752
3618,3141,0.4710317856292981
3618,3142,1.26005086514134
3618,3143,1.1898169103979122
3618,3144,2.3988714505449855
3618,3145,2.3370555056040834
3618,3146,3.678472566134583
3618,3147,1.5669322853892507
3618,3148,3.766270303054861
3618,3149,4.754101665269534
3619,3140,0.891649332880858
3619,3141,0.45691277610065734
3619,3142,1.2408512333652046
3619,3143,1.152797759639522
3619,3144,2.3779636467797935
3619,3145,2.3920216652809523
3619,3146,3.7030499280870592
3619,3147,1.512980213202412
3619,3148,3.809039682508311
3619,3149,4.782716623304065
3620,3140,0.887041388728337
3620,3141,0.5270000233181682
3620,3142,0.9681733282949228
3620,3143,0.6798239734836532
3620,3144,2.0178213957442512
3620,3145,2.946937419058133
3620,3146,3.8122237931296947
3620,3147,1.0616964916335294
3620,3148,4.1452001653665365
3620,3149,4.929062939268189
3621,3140,0.844040158854865
3621,3141,0.4387607230132081
3621,3142,0.997753549488678
3621,3143,0.7655664844823205
3621,3144,2.083153803797804
3621,3145,2.8170056799286654
3621,3146,3.7721836281622356
3621,3147,1.1567468897794193
3621,3148,4.05782583732235
3621,3149,4.882745737767482
3622,3140,0.6585172598490667
3622,3141,0.3810850411071407
3622,3142,0.7308480901071718
3622,3143,0.51172956830659
3622,3144,1.8120143847974013
3622,3145,2.8633237293070914
3622,3146,3.574249753825924
3622,3147,1.2661299261947494
3622,3148,3.9496132974830416
3622,3149,4.693926277127851
3623,3140,0.9547597547019332
3623,3141,1.0643740364691916
3623,3142,0.5112162177718332
3623,3143,0.2972810888243988
3623,3144,1.090580921427521
3623,3145,3.419590021674225
3623,3146,3.385641877619761
3623,3147,1.5511076547869822
3623,3148,4.082179099798935
3623,3149,4.517766063638957
3624,3140,0.2305164677970919
3624,3141,0.6858593933995327
3624,3142,0.4807050715220048
3624,3143,0.8635641283216596
3624,3144,1.4483289340223016
3624,3145,2.4803110966098263
3624,3146,2.7129665314360047
3624,3147,2.1137411462027185
3624,3148,3.1630083192556064
3624,3149,3.8318819086834
3625,3140,2.1681372859677817
3625,3141,2.6228423073033036
3625,3142,2.0743934000239954
3625,3143,2.5168603808472976
3625,3144,1.6847710056733178
3625,3145,3.265651506960818
3625,3146,1.0966052211369945
3625,3147,3.9102756199617823
3625,3148,2.4059058638460202
3625,3149,2.1757793994566725
3626,3140,1.8321765969304808
3626,3141,2.2871647121575007
3626,3142,1.6938094965290078
3626,3143,2.127953449745579
3626,3144,1.3044365887070106
3626,3145,3.214954665559034
3626,3146,1.4693595141976494
3626,3147,3.522081736210766
3626,3148,2.64553176633682
3626,3149,2.569249760060957
3627,3140,1.703808483390229
3627,3141,2.1584110375876118
3627,3142,1.5613145331660419
3627,3143,1.9963710689691083
3627,3144,1.2127361103811232
3627,3145,3.158381575173818
3627,3146,1.5712523176208453
3627,3147,3.390497291126895
3627,3148,2.688514578298264
3627,3149,2.6809758998607314
3628,3140,2.107219282259485
3628,3141,2.5585985258482826
3628,3142,2.058102768328018
3628,3143,2.510664384639
3628,3144,1.7767300496222236
3628,3145,3.085933814595354
3628,3146,0.9993323211236261
3628,3147,3.8987261751299203
3628,3148,2.2311372188789367
3628,3149,2.111314796260322
3629,3140,2.0045515627399872
3629,3141,2.4488195415002854
3629,3142,2.0079750782478776
3629,3143,2.468293777832459
3629,3144,1.858332046197464
3629,3145,2.8612012351924454
3629,3146,0.9771983116421146
3629,3147,3.8435463360031807
3629,3148,2.0602449865879673
3629,3149,2.1096053148044467
3630,3140,1.9771844883173857
3630,3141,2.373380367493853
3630,3142,2.137507590186859
3630,3143,2.59561585747066
3630,3144,2.3017261781797145
3630,3145,2.270050003424882
3630,3146,1.059062610847994
3630,3147,3.896025862802351
3630,3148,1.5432312215783741
3630,3149,2.0993474810446298
3631,3140,1.9252881329971583
3631,3141,2.3452426565339186
3631,3142,2.0268125740117457
