X,Y,Z,Type,Name,street,HouseNumbe,neighborho,Operator,Seats,Activity,fencing,lighting,handicappe,handicap_1,yearOfEsta,condition,Owner,ForSchool,associatio,SportType,Id
34.807649082000104,31.2617019100001,0,בריכת שחיה - 20X50 מ',מרכז הספורט באוניברסיטת בן גוריון,,0.0,,אוניברסיטת בן גוריון,0.0,בתיאום בלבד,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,,,,3187
34.765448459,31.268586587000105,0,מגרש כדורסל – 19X32 מ',"בה""ס נווה מנחם",רבקה,6.0,נחל עשן,ניהול עצמי,0.0,פתוח ללא הגבלה,קיים גידור,אין תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,נווה מנחם,,,3188
34.806922813,31.261764303000103,0,בריכת שחיה - 25X12.5 מ',מרכז הספורט באוניברסיטת בן גוריון,,0.0,,אוניברסיטת בן גוריון,0.0,בתיאום בלבד,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,,,,3189
34.7918641,31.27281659,0,אולם ספורט קטן – 20x10 מ',מרכז האבקות- בן צבי,התלמוד,0.0,ד',כיוונים,0.0,בתיאום בלבד,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,,עמי,האבקות,3190
34.7683064490001,31.235070566999998,0,מגרש ספורט משולב – 43X32 מ',מקיף רגר,נפתלי הרץ אימבר,0.0,נווה זאב,כיוונים,0.0,פתוח ללא הגבלה,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,רגר,,,3191
34.768728165,31.235374968000002,0,אולם ספורט גדול - 45X24 מ',מקיף רגר,נפתלי הרץ אימבר,0.0,נווה זאב,כיוונים,0.0,בתיאום בלבד,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,רגר,"כיוונים, מכבי",חוגים + כדורסל בנות,3192
34.766066283,31.259928626,0,מגרש ספורט משולב – 43X32 מ',מקיף רבין,מרדכי נמיר,0.0,"יי""א",ניהול עצמי,0.0,פתוח ללא הגבלה,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,רבין,,,3193
34.766559218000104,31.2599538360001,0,אולם ספורט גדול - 45X24 מ',מקיף רבין,מרדכי נמיר,0.0,"יי""א",ניהול עצמי,0.0,בתיאום בלבד,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,רבין,,,3194
34.791441241,31.270131456999998,0,מגרש כדורסל – 19X32 מ',אלומות,רחבת יהודה הנשיא,0.0,ד',ניהול עצמי,0.0,פתוח ללא הגבלה,קיים גידור,אין תאורה,אין נגישות לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,אלומות,,,3195
34.7705407730001,31.2556603210001,0,אולם ספורט קטן – 15x24 מ',אלון,,0.0,,ניהול עצמי,0.0,בתיאום בלבד,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,אלון,,ריקוד/מחול,3196
34.786915197,31.2656078050001,0,אולם ספורט גדול - 45X24 מ',"אמי""ת- מקיף ד' לשעבר",יהודה הלוי,0.0,שכ' ד',כיוונים,500.0,בתיאום בלבד,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,"אמי""ת","בית""ר, הפועל",כדורסל,3197
34.78744392,31.2651454050001,0,מגרש ספורט משולב – 43X32 מ',"אמי""ת- מקיף ד' לשעבר",יהודה הלוי,0.0,שכ' ד',כיוונים,0.0,פתוח ללא הגבלה,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,"אמי""ת",,,3198
34.799201552000106,31.268498253000104,0,מגרש כדורסל – 19X32 מ',"אמירים תל""י",קלאוזנר,0.0,ו' הישנה,ניהול עצמי,0.0,פתוח ללא הגבלה,קיים גידור,אין תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,"אמירים-תל""י",,,3199
34.7676468490001,31.2614260890001,0,מגרש כדורסל – 19X32 מ',אפיק,הרב הרצוג,0.0,"יי""א",ניהול עצמי,0.0,פתוח ללא הגבלה,קיים גידור,אין תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,אפיק,,,3200
34.8033455080001,31.270512228,0,מגרש כדורסל – 19X32 מ',אפיקים בנגב,הדעת,89.0,רמות,ניהול עצמי,0.0,פתוח ללא הגבלה,קיים גידור,אין תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,אפיקים בנגב,,,3201
34.802204825,31.2710036300001,0,מגרש ספורט משולב – 43X32 מ',מקיף ז',,0.0,,רשת עמל,0.0,פתוח ללא הגבלה,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,מקיף ז',,,3202
34.802601732,31.27062707,0,אולם ספורט גדול - 45X24 מ',מקיף ז',,0.0,,רשת עמל,0.0,בתיאום בלבד,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,מקיף ז',,,3203
34.7719985530001,31.248610997000103,0,מגרש כדורגל – 45X90 מ',מקיף ו',בית אל,0.0,ט',כיוונים,0.0,בתיאום בלבד,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,מקיף ו',"הפועל, מכבי בני הנגב","כדורגל נשים, אתלטיקה",3204
34.7752286840001,31.2472914470001,0,מגרש ספורט משולב – 43X32 מ',מולדת,שד' ירושלים,0.0,שכ' ט',ניהול עצמי,0.0,פתוח ללא הגבלה,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,,,,3205
34.7794654410001,31.271017288000102,0,"אצטדיון/מסלול אתלטיקה קלה – 6-4 מסלולים, 250 או 300 מ'",מכללת קיי,יהודה הלוי,0.0,ו' החדשה,מכללת קיי,0.0,בתיאום בלבד,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,,,,3206
