X,Y,Z,Name,type,oldName,Id
34.775380581,31.248388864000002,0,מורשת,גן ילדים,מולדת,2717
34.779338704000104,31.249526676000098,0,גירית,גן ילדים,,2718
34.779987899,31.248776739,0,ניצנה,גן ילדים,,2719
34.7784807190001,31.2536796250001,0,אגוז,גן ילדים,,2720
34.780071895,31.2592443390001,0,אתרוג,גן ילדים,,2721
34.785540671,31.246472606999998,0,לביא,גן ילדים,מוריה,2722
34.7883808070001,31.252650465,0,קשת,גן ילדים,,2723
34.786590368000105,31.259773202000105,0,לב הדקל,גן ילדים,לולב,2724
34.7899430750001,31.256082109,0,אגם תכלת,גן ילדים,,2725
34.7948597380001,31.25299153,0,שמעוני,גן ילדים,,2726
34.761730545,31.2692667320001,0,אביב,גן ילדים,,2727
34.7743301420001,31.262831265,0,חמניה,גן ילדים,,2728
